UniqueID;fundamental_advice;fund_advice_nrscore;uncle_stock_score;growth_score;value_score;greenblatt_score;piotroski_score;levermann_score;predictability_score;price_iv_buffett;iv_price_buf;rev_price;PL12M
225;5;5;0,76;0,7;0,6;0,48;6,46;6,63;0,42;0,32;0,32;1,41;0,8806
226;4;4;0,79;0,68;0,56;0,47;7,41;0,58;0,75;0,64;0,64;0,2425;-0,1401
227;4;4;0,65;0,61;0,6;0,49;9,53;7,72;0,73;12,61;12,61;0,9069;-0,0293
228;5;5;0,85;0,76;0,56;1,14;5,5;7,7;0,84;0,31;0,31;1,67;-0,2535
229;4;4;0,66;0,58;0,5;0,21;9,52;-3,65;0,52;1,69;1,69;0,984;0,0996
230;3;3;0,65;0,64;0,5;0,3;9,47;3,6;0,76;2,08;2,08;0,5775;1,5875
231;4;4;0,74;0,78;0,55;0,8;7,47;1,64;0,52;2,59;2,59;1,07;0,3684
232;3;3;0,63;0,67;0,51;0,45;7,48;2,65;0,74;0,93;0,93;0,5845;-0,248
233;3;3;0,71;0,8;0,51;0,49;8,47;4,67;0,62;0,86;0,86;0,2306;0,5395
234;4;4;0,66;0,64;0,51;1;7,46;6,63;0,68;5,92;5,92;3,18;1,2925
235;4;4;0,76;0,64;0,68;0,75;7,49;0,48;0,67;0,8;0,8;2,41;0,4476
236;4;4;0,73;0,76;0,54;0,64;9,53;7,72;0,68;0,97;0,97;1,01;0,2082
237;3;3;0,61;0,62;0,52;0,34;9,51;1,68;0,67;5,23;5,23;0,6477;0,5342
238;5;5;0,82;0,73;0,7;0,64;9,56;3,56;0,68;0,33;0,33;1,34;0,0095
239;5;5;0,85;0,7;0,75;1,13;6,48;3,52;0,66;1,02;1,02;0,3054;0,1422
240;4;4;0,81;0,82;0,49;0,79;8,49;7,69;0,6;1,75;1,75;0,3191;1,5983
241;4;4;0,75;0,66;0,58;0,38;7,41;-2,56;0,57;1,81;1,81;0,4099;-0,0667
242;2;2;0,58;0,53;0,5;0,73;5,39;4,62;0,76;5,73;5,73;0,1147;0,207
243;4;4;0,86;0,56;0,77;-0,65;7,46;-4,4;0,36;1,14;1,14;1,4;-0,3654
244;2;2;0,59;0,4;0,46;0,45;6,44;3,5;0,73;10,43;10,43;0,3425;-0,0489
245;4;4;0,74;0,67;0,57;0,68;8,48;2,57;0,79;2,11;2,11;0,9501;-0,0132
246;5;5;0,81;0,6;0,73;-0,41;4,62;-4,3;0,57;0,81;0,81;0,0005;-0,326
247;2;2;0,57;0,62;0,46;0,4;7,41;1,55;0,58;103,78;103,78;1,26;0,4051
248;3;3;0,67;0,63;0,49;0,24;9,49;3,65;0,66;1,59;1,59;0,1683;-0,0926
249;3;3;0,64;0,57;0,42;0,86;9,54;-3,48;0,23;6,23;6,23;0,1817;0,1004
250;4;4;0,66;0,59;0,52;0,35;9,44;2,54;0,51;1,58;1,58;1,71;0,1548
251;4;4;0,73;0,63;0,61;0,57;6,45;7,62;0,67;0,59;0,59;1,12;1,8309
252;4;4;0,71;0,58;0,51;0,44;9,6;3,72;0,59;1,22;1,22;1,45;0,0659
253;4;4;0,64;0,54;0,5;0,24;9,5;-2,6;0,55;1,74;1,74;0,78;-0,1307
254;5;5;0,77;0,68;0,68;0,53;7,47;3,64;0,61;0,64;0,64;1,14;0,1889
255;4;4;0,73;0,65;0,56;0,39;8,7;6,6;0,33;0,72;0,72;1,17;0,0233
256;2;2;0,49;0,57;0,4;0,24;9,5;2,55;0,64;449,63;449,63;0,4117;0,391
257;4;4;0,65;0,62;0,51;0,22;9,58;-3,6;0,75;1,35;1,35;1,65;-0,1678
258;4;4;0,87;0,89;0,77;1,13;4,42;-5,41;0,26;0,83;0,83;0,1977;0,1871
259;4;4;0,78;0,78;0,52;0,36;7,41;-3,49;0,7;1,57;1,57;0,9584;-0,2721
260;4;4;0,81;0,87;0,55;0,57;7,43;5,68;0,73;2,24;2,24;0,1561;0,2705
261;5;5;0,85;0,64;0,68;0,76;7,54;7,71;0,84;0,085;0,085;23,12;0,6346
262;5;5;0,76;0,64;0,64;0,87;4,42;7,61;0,65;1,14;1,14;1;0,4297
263;4;4;0,82;0,72;0,65;0,71;6,46;2,53;0,63;0,079;0,079;1,73;0,4319
264;5;5;0,84;0,78;0,73;0,47;2,37;-5,44;0,65;0,18;0,18;0,7841;0,3289
265;4;4;0,66;0,65;0,53;0,33;9,46;4,59;0,68;1,81;1,81;0,7809;-0,0147
266;4;4;0,75;0,6;0,49;0,35;7,51;1,56;0,34;1,49;1,49;0,2064;-0,3794
267;4;4;0,77;0,69;0,52;0,4;8,42;3,56;0,65;2,12;2,12;0,6015;0,4234
268;5;5;0,83;0,75;0,54;0,86;6,47;5,62;0,87;1,12;1,12;0,6936;0,4749
269;5;5;0,77;0,83;0,57;0,59;7,49;3,66;0,65;0,34;0,34;0,6406;1,015
270;4;4;0,76;0,6;0,56;0,42;7,43;0,54;0,52;0,95;0,95;0,6608;-0,0467
271;4;4;0,66;0,63;0,49;0,85;9,47;2,6;0,76;1,27;1,27;0,4878;0,1652
272;3;3;0,67;0,73;0,52;0,41;8,49;4,62;0,78;1,34;1,34;0,4727;0,8641
273;5;5;0,77;0,49;0,63;0,96;7,44;0,52;0,86;0,24;0,24;0,8161;0,157
274;4;4;0,84;0,56;0,82;0,9;5,42;3,68;0,71;0,067;0,067;13,45;0,0363
275;3;3;0,73;0,7;0,51;0,52;8,43;0,55;0,68;0,82;0,82;0,3387;-0,1109
326;1;4;0,71;0,56;0,6;0,02;6,3;6,67;0,31;0,46;0,46;0,0043;-0,112751895
327;1;4;0,73;0,56;0,72;0,52;8,83;0,54;0,47;2936;2936;4,72;0,028632025
328;1;4;0,73;0,66;0,61;0,1;9,54;0,68;0,63;0,21;0,21;0,8152;-0,330383481
329;1;4;0,66;0,5;0,57;0,33;9,53;0,69;0,62;0,87;0,87;3,73;-0,154746424
330;1;4;0,65;0,56;0,55;0,3;9,48;2,62;0,73;11,4;11,4;1,09;0,291970803
331;1;4;0,73;0,6;0,64;0,62;7,46;1,53;0,47;1,71;1,71;0,8742;0,096618357
332;1;4;0,72;0,59;0,62;0,55;7,53;6,71;0,47;2,6;2,6;4,07;-0,079685746
333;3;5;0,77;0,67;0,46;1,3;7,38;1,63;0,67;0,043;0,043;1,07;0,084
334;1;4;0,69;0,5;0,6;0,32;9,46;4,62;0,47;0,8;0,8;0,53;0,085399449
335;1;4;0,74;0,61;0,65;0,55;5,42;7,57;0,54;1,84;1,84;2,41;-0,36622807
336;1;4;0,74;0,59;0,65;0,42;7,49;6,6;0,69;0,71;0,71;1,06;-0,074840764
337;1;4;0,7;0,57;0,63;0,7;9,48;6,59;0,66;1,63;1,63;2,56;0,134615385
338;1;4;0,74;0,56;0,67;0,52;7,51;2,6;0,51;0,53;0,53;4,4;0,474389283
339;-1;2;0,59;0,58;0,55;0,39;9,6;-1,56;0,75;1,38;1,38;0,0502;-0,047276853
340;1;4;0,74;0,6;0,63;0,45;7,49;3,6;0,55;0,46;0,46;0,6496;-0,215827338
341;1;4;0,66;0,59;0,54;0,53;9,55;4,58;0,72;2,91;2,91;5,76;-0,179987413
342;3;5;0,82;0,83;0,63;1,4;6,6;6,66;0,69;0,44;0,44;0,5239;-0,325531915
343;0;3;0,66;0,55;0,57;0,37;9,5;6,65;0,68;1,26;1,26;2,11;-0,219471947
344;1;4;0,64;0,64;0,52;0,71;9,53;6,73;0,65;28,72;28,72;0,8635;0,034928849
345;0;3;0,69;0,62;0,61;0,41;9,48;4,64;0,63;1,55;1,55;0,6369;0,0375
346;-1;2;0,37;0,52;0,45;-0,09;9,51;0,5;0,47;5,35;5,35;0,5507;-0,082579186
347;3;5;0,76;0,65;0,57;0,39;8,44;6,59;0,8;0,51;0,51;0,4954;-0,260507881
348;-1;2;0,6;0,54;0,53;0,35;7,4;-1,54;0,71;0,49;0,49;2,44;-0,396987628
349;1;4;0,73;0,55;0,59;0,89;7,44;5,52;0,7;0,58;0,58;6,77;2,444305382
350;0;3;0,68;0,56;0,63;0,37;9,46;-1,57;0,44;2,04;2,04;1,11;-0,123232323
351;1;4;0,75;0,64;0,69;0,95;7,49;6,67;0,6;1,98;1,98;1,87;-0,037990196
352;1;4;0,62;0,53;0,55;0,37;9,54;2,65;0,75;1,7;1,7;2,35;-0,208666667
353;1;4;0,75;0,6;0,68;0,74;7,44;-1,51;0,45;1,61;1,61;1,98;-0,188289676
354;1;4;0,71;0,59;0,61;0,7;7,43;6,63;0,61;0,99;0,99;0,5786;0,330718954
355;0;3;0,69;0,54;0,57;0,39;9,5;2,63;0,49;3;3;0,251;-0,111364816
356;0;3;0,68;0,61;0,6;0,29;8,47;1,71;0,52;2,04;2,04;0,7679;0,26286117
357;1;4;0,73;0,56;0,67;1,2;7,41;0,55;0,45;1,14;1,14;1,23;0,060011217
358;-1;2;0,6;0,47;0,55;0,28;9,5;1,56;0,56;1,3;1,3;0,3881;-0,084617153
359;1;4;0,69;0,66;0,57;0,63;9,49;-1,53;0,65;2,69;2,69;1,64;0,440035273
360;1;4;0,75;0,69;0,63;1,24;8,44;4,61;0,7;1,21;1,21;1,02;0,524017467
361;0;3;0,67;0,63;0,55;0,42;8,43;4,59;0,77;2,77;2,77;1,04;0,466969046
362;-1;2;0,57;0,58;0,57;0,53;9,57;2,5;0,69;1,42;1,42;3,41;-0,573637129
363;0;3;0,72;0,65;0,53;0,3;8,53;6,72;0,56;1,58;1,58;0,2533;0,112947658
364;0;3;0,63;0,74;0,52;0,41;7,55;4,66;0,81;5,51;5,51;0,1369;0,146582587
365;1;4;0,61;0,54;0,52;0,31;9,49;-2,61;0,56;1,92;1,92;1,4;-0,03026458
366;1;4;0,72;0,52;0,59;0,61;9,51;2,49;0,59;1,29;1,29;1,53;0,053674496
367;0;3;0,69;0,65;0,59;0,43;8,48;6,61;;3,87;3,87;1;0,02425016
368;-1;2;0,59;0,67;0,47;0,36;9,54;4,7;0,66;6,8;6,8;0,8221;-0,457667956
369;-1;2;0,6;0,58;0,47;0,28;8,46;3,6;0,68;6,03;6,03;0,2198;-0,12771738
370;3;5;0,83;0,69;0,62;0,53;7,36;4,58;0,88;0,22;0,22;0,9424;-0,651510619
371;3;5;0,84;0,71;0,56;1;6,48;3,57;0,88;10,51;10,51;4,93;0,876456876
372;1;4;0,74;0,63;0,58;0,12;6,58;6,78;0,48;;;0,8104;0,618012422
373;1;4;0,73;0,51;0,59;0,57;8,48;5,64;0,58;1,68;1,68;1,08;0,167692083
374;1;4;0,87;0,64;0,79;1,13;7,49;2,51;0,65;1,07;1,07;0,2902;-0,064775336
375;0;3;0,61;0,73;0,49;0,38;7,49;4,74;0,42;5,21;5,21;0,1643;-0,193370166
376;3;5;0,77;0,73;0,63;0,5;3,41;8,67;0,76;0,1;0,1;0,4658;0,127097882
377;3;5;0,83;0,63;0,77;1,09;4,5;1,59;0,63;0,13;0,13;0,8945;-0,113003769
378;3;5;0,86;0,65;0,8;1,13;3,3;0,47;0,67;0,61;0,61;0,3146;-0,10780792
379;1;4;0,74;0,69;0,61;1,17;6,54;7,77;0,39;1,38;1,38;0,2313;0,067049779
380;3;5;0,86;0,59;0,86;1,13;4,51;2,69;0,76;0,00023;0,00023;405,3;-0,016906921
381;3;5;0,83;0,61;0,77;1,13;6,48;0,5;0,65;1,01;1,01;0,2914;0,086826282
382;0;3;0,68;0,73;0,59;1,3;5,39;8,8;0,66;4,2;4,2;0,1572;0,401209734
383;0;3;0,74;0,64;0,57;0,43;9,51;1,65;0,6;0,82;0,82;0,7839;0,328981021
384;-1;2;0,55;0,74;0,46;0,19;9,54;4,67;0,75;2,97;2,97;0,1022;-0,01196872
385;1;4;0,64;0,63;0,48;0,73;9,56;3,62;0,63;0,51;0,51;0,3364;0,107348504
386;0;3;0,57;0,64;0,56;0,88;9,53;6,71;0,49;1,91;1,91;0,9351;0,148809592
387;3;5;0,83;0,59;0,74;1,13;6,5;-1,51;0,57;1,44;1,44;0,4568;-0,102153846
388;3;5;0,83;0,65;0,79;1,13;6,49;0,52;0,64;1,08;1,08;0,355;0,033490012
389;-1;2;0,42;0,66;0,4;0,35;9,51;4,69;0,68;42,58;42,58;0,2939;-0,254255803
390;1;4;0,61;0,53;0,48;0,31;8,42;0,56;0,59;0,23;0,23;0,7782;-0,199064796
391;3;5;0,85;0,62;0,63;0,84;5,5;5,58;0,7;0,031;0,031;4,51;-0,336082474
392;3;5;0,83;0,64;0,79;1,13;5,47;1,49;0,41;1,24;1,24;0,2283;-0,014866204
393;3;5;0,81;0,62;0,58;0,48;7,51;3,66;0,43;1,82;1,82;1,6;0,398230088
394;1;4;0,8;0,73;0,6;0,84;6,43;8,65;0,85;0,65;0,65;2,35;0,290762657
395;-1;2;0,59;0,56;0,45;0,3;9,54;4,69;0,72;1,38;1,38;0,2202;0,197616683
396;1;4;0,74;0,64;0,53;1,03;5,33;6,58;0,71;0,016;0,016;0,772;-0,034615408
397;0;3;0,72;0,76;0,54;0,48;7,57;5,73;0,7;0,88;0,88;0,2806;0,2736
398;1;4;0,72;0,64;0,62;0,42;3,29;4,62;0,76;0,94;0,94;0,1627;-0,151415675
399;1;4;0,72;0,59;0,55;0,35;8,43;1,54;0,48;1,61;1,61;1,11;-0,181455592
400;-1;2;0,6;0,52;0,45;0,16;9,52;-3,63;0,52;34,73;34,73;1,31;0,126060606
401;0;3;0,65;0,6;0,57;0,29;7,47;1,57;0,71;2,55;2,55;0,5545;-0,012467076
402;3;5;0,76;0,62;0,64;0,72;7,48;6,6;0,58;1,11;1,11;1,01;0,703528173
403;1;4;0,65;0,68;0,55;0,38;7,45;6,58;0,56;66,53;66,53;0,8133;0,179447853
404;0;3;0,69;0,74;0,56;0,22;8,45;0,58;0,78;3,73;3,73;1,29;1,042203147
405;1;4;0,73;0,7;0,62;0,46;5,42;6,65;0,45;0,52;0,52;0,6824;0,222462203
406;1;4;0,73;0,65;0,62;0,53;6,46;8,66;0,54;0,48;0,48;1,38;-0,01461039
407;1;4;0,66;0,55;0,57;-0,05;9,55;4,68;0,43;1,92;1,92;6,28;-0,442538593
408;3;5;0,76;0,78;0,57;0,92;8,44;4,56;0,62;1,97;1,97;0,9089;0,185
409;1;4;0,73;0,64;0,62;0,53;7,41;6,61;0,57;1,27;1,27;1,75;-0,201343769
410;0;3;0,63;0,63;0,57;0,39;7,43;3,6;0,77;6,5;6,5;1,73;-0,319954128
411;0;3;0,62;0,73;0,52;0,46;7,48;4,67;0,79;15,29;15,29;0,1958;-0,18606725
412;3;5;0,8;0,71;0,67;0,6;5,47;7,64;0,62;0,31;0,31;0,2176;-0,339305302
413;0;3;0,62;0,64;0,56;0,41;7,45;5,59;0,75;8,52;8,52;1,34;0,751710391
414;0;3;0,61;0,63;0,55;0,39;7,42;5,61;0,77;7,96;7,96;0,7904;0,342745593
415;0;3;0,63;0,72;0,5;0,39;9,49;4,68;0,74;3,08;3,08;0,1515;-0,138738739
416;1;4;0,74;0,73;0,46;0,87;7,49;3,74;0,69;3;3;0,3895;-0,322572038
417;0;3;0,75;0,61;0,53;0,73;9,78;6,73;0,68;2,11;2,11;3,45;0,22448891
418;3;5;0,81;0,63;0,78;1,13;6,51;-1,5;0,61;1,78;1,78;0,2482;-0,047866805
419;1;4;0,62;0,71;0,45;0,85;9,48;4,6;0,75;8,28;8,28;0,1804;-0,048686739
420;1;4;0,83;0,68;0,76;1,12;6,63;3,74;0,39;0,09;0,09;0,8112;-0,044247788
421;3;5;0,79;0,64;0,62;0,66;4,41;7,55;0,73;1,03;1,03;1,68;-0,162913907
422;3;5;0,84;0,75;0,65;1,4;5,61;6,56;0,66;64,64;64,64;1,51;-0,401785714
423;0;3;0,63;0,59;0,48;0,15;9,67;1,59;0,77;1,18;1,18;0,0644;0,399157966
424;3;5;0,84;0,63;0,69;0,38;7,47;0,49;0,56;3,12;3,12;3,18;0,713235294
425;0;3;0,61;0,6;0,56;0,35;7,47;1,6;0,68;1,55;1,55;0,5181;-0,325160082
426;0;3;0,62;0,69;0,51;0,3;9,54;2,7;0,79;1,52;1,52;0,4957;0,117962837
427;3;5;0,82;0,66;0,59;0,46;5,4;6,57;0,55;0,61;0,61;0,8286;0,106947697
428;0;3;0,61;0,57;0,54;0,14;7,66;2,67;0,72;5,91;5,91;0,2518;0,043956044
429;1;4;0,79;0,59;0,59;0,43;7,43;4,64;0,55;0,91;0,91;1,34;-0,273230881
430;1;4;0,72;0,61;0,53;0,77;8,42;2,53;0,58;2,22;2,22;4,56;0,135135135
431;1;4;0,74;0,62;0,56;0,34;9,44;2,48;0,68;2,28;2,28;1,11;0,22260274
432;0;3;0,66;0,56;0,46;0,28;7,42;3,55;0,74;0,32;0,32;0,1395;-0,08197483
433;3;5;0,85;0,8;0,77;1,13;5,55;1,61;0,36;1,71;1,71;0,1972;-0,059047619
434;1;4;0,74;0,67;0,6;1,18;3,4;8,68;0,77;;;0,2328;0,136150235
435;1;4;0,85;0,87;0,58;0,52;7,46;1,65;0,76;1,82;1,82;0,1422;0,015741339
436;3;5;0,83;0,73;0,69;0,67;7,53;7,64;0,7;0,09;0,09;1,32;0,226039827
437;1;4;0,71;0,6;0,55;0,39;9,53;2,61;0,74;2,7;2,7;0,2098;0,115843271
438;0;3;0,62;0,71;0,55;0,51;9,48;2,62;0,74;2,61;2,61;1,78;0,510115394
439;1;4;0,72;0,59;0,53;0,68;7,5;6,68;0,62;1,52;1,52;0,9071;-0,32748538
440;1;4;0,74;0,75;0,56;0,45;8,48;5,62;0,66;0,89;0,89;0,4042;-0,304415787
441;3;5;0,76;0,7;0,56;0,35;9,46;5,63;0,64;2;2;0,3803;0,086915888
442;1;4;0,7;0,68;0,55;0,59;7,48;-1,72;0,59;2,92;2,92;0,2319;-0,285051101
443;1;4;0,64;0,67;0,47;0,34;9,51;2,66;0,7;25,01;25,01;0,8724;-0,214285714
444;-1;2;0,56;0,54;0,47;0,28;9,52;4,66;0,51;1,42;1,42;0,5759;0,087958694
445;1;4;0,66;0,61;0,55;0,72;9,58;2,58;0,71;6,4;6,4;0,4329;0,259868421
446;3;5;0,83;0,63;0,74;1,51;5,56;-3,39;0,54;2227;2227;0,3968;-0,040816327
